Ticker,Name,Asset,Weight,Notional Value,Industry
UE,URBAN EDGE PROPERTIES,Equity,0.13,"64,522,824.66",Real Estate
CAR,AVIS BUDGET GROUP INC,Equity,0.13,"64,522,355.46",Industrials
MTX,MINERALS TECHNOLOGIES INC,Equity,0.13,"64,141,578.21",Materials
MLHR,HERMAN MILLER INC,Equity,0.13,"64,137,481.10",Industrials
UNIT,UNITI GROUP INC,Equity,0.13,"63,346,255.30",Real Estate
AN,AUTONATION INC,Equity,0.13,"63,287,994.88",Consumer Discretionary
MTDR,MATADOR RESOURCES,Equity,0.13,"62,992,988.05",Energy
GVA,GRANITE CONSTRUCTION INC,Equity,0.12,"62,612,910.00",Industrials
CNX,CNX RESOURCES CORP,Equity,0.12,"62,428,166.46",Energy
RRC,RANGE RESOURCES CORP,Equity,0.12,"62,362,703.76",Energy
AVNS,AVANOS MEDICAL INC,Equity,0.12,"62,152,170.01",Health Care
KBH,KB HOME,Equity,0.12,"61,779,820.16",Consumer Discretionary
THC,TENET HEALTHCARE CORP,Equity,0.12,"61,406,429.34",Health Care
ADNT,ADIENT PLC,Equity,0.12,"61,165,654.56",Consumer Discretionary
CMC,COMMERCIAL METALS,Equity,0.12,"61,144,503.05",Materials
JWA,JOHN WILEY AND SONS INC CLASS A,Equity,0.12,"60,568,252.29",Communication
INT,WORLD FUEL SERVICES CORP,Equity,0.12,"60,543,695.97",Energy
TEX,TEREX CORP,Equity,0.12,"60,154,449.60",Industrials
HAIN,HAIN CELESTIAL GROUP INC,Equity,0.12,"58,605,416.00",Consumer Staples
NTCT,NETSCOUT SYSTEMS INC,Equity,0.12,"58,463,730.36",Information Technology
JACK,JACK IN THE BOX INC,Equity,0.12,"57,946,004.37",Consumer Discretionary
SNH,SENIOR HOUSING PROPERTIES TRUST RE,Equity,0.12,"57,864,391.07",Real Estate
DLX,DELUXE CORP,Equity,0.11,"57,705,490.44",Industrials
TPH,TRI POINTE GROUP INC,Equity,0.11,"57,635,084.38",Consumer Discretionary
CAKE,CHEESECAKE FACTORY INC,Equity,0.11,"56,825,671.87",Consumer Discretionary
CLI,MACK-CALI REALTY REIT CORP,Equity,0.11,"56,641,222.43",Real Estate
CMP,COMPASS MINERALS INTERNATIONAL INC,Equity,0.11,"56,607,166.52",Materials
QEP,QEP RESOURCES INC,Equity,0.11,"56,211,432.75",Energy
GNW,GENWORTH FINANCIAL A INC,Equity,0.11,"55,549,847.04",Financials
MDR,MCDERMOTT INTERNATIONAL INC,Equity,0.11,"53,553,656.73",Energy
SM,SM ENERGY,Equity,0.11,"53,224,311.15",Energy
CPE,CALLON PETROLEUM,Equity,0.11,"52,984,089.90",Energy
MNK,MALLINCKRODT,Equity,0.1,"52,092,386.64",Health Care
PDCO,PATTERSON COMPANIES INC,Equity,0.1,"51,747,751.30",Health Care
OAS,OASIS PETROLEUM INC,Equity,0.1,"51,601,523.04",Energy
SKT,TANGER FACTORY OUTLET CENTERS REIT,Equity,0.1,"51,296,211.50",Real Estate
PLT,PLANTRONICS INC,Equity,0.1,"49,730,316.87",Information Technology
DNOW,NOW INC,Equity,0.1,"48,669,378.03",Industrials
OII,OCEANEERING INTERNATIONAL INC,Equity,0.1,"48,602,933.46",Energy
MDRX,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,Equity,0.1,"48,018,484.31",Health Care
HNI,HNI CORP,Equity,0.1,"47,972,022.70",Industrials
ALEX,ALEXANDER & BALDWIN INC,Equity,0.09,"46,806,102.00",Real Estate
WOR,WORTHINGTON INDUSTRIES INC,Equity,0.09,"45,848,708.56",Materials
EAT,BRINKER INTERNATIONAL INC,Equity,0.09,"45,734,825.64",Consumer Discretionary
DY,DYCOM INDUSTRIES INC,Equity,0.09,"44,357,757.84",Industrials
WERN,WERNER ENTERPRISES INC,Equity,0.09,"44,081,412.30",Industrials
PBH,PRESTIGE CONSUMER HEALTHCARE INC,Equity,0.09,"43,108,511.76",Health Care
INGN,INOGEN INC,Equity,0.08,"42,450,003.68",Health Care
BID,SOTHEBYS,Equity,0.08,"41,861,550.24",Consumer Discretionary
RLGY,REALOGY HOLDINGS CORP,Equity,0.08,"41,689,337.87",Real Estate
MCY,MERCURY GENERAL CORP,Equity,0.08,"40,395,384.92",Financials
DDS,DILLARDS INC CLASS A,Equity,0.08,"39,124,195.60",Consumer Discretionary
SYNA,SYNAPTICS INC,Equity,0.08,"38,754,085.92",Information Technology
TUP,TUPPERWARE BRANDS CORP,Equity,0.07,"37,386,406.05",Consumer Discretionary
CARS,CARS.COM INC,Equity,0.07,"36,491,189.12",Communication
SGMS,SCIENTIFIC GAMES CORP,Equity,0.07,"36,176,595.34",Consumer Discretionary
SIG,SIGNET JEWELERS LTD,Equity,0.07,"34,678,963.00",Consumer Discretionary
MIK,MICHAELS COMPANIES INC,Equity,0.07,"33,450,158.57",Consumer Discretionary
PZZA,PAPA JOHNS INTERNATIONAL INC,Equity,0.06,"31,548,684.72",Consumer Discretionary
GEF,GREIF INC CLASS A,Equity,0.06,"29,905,728.58",Materials
ISCA,INTERNATIONAL SPEEDWAY CORP CLASS,Equity,0.06,"29,112,186.01",Consumer Discretionary
WTW,WEIGHT WATCHERS INTERNATIONAL INC,Equity,0.04,"22,165,998.36",Consumer Discretionary
TR,TOOTSIE ROLL INDUSTRIES INC,Equity,0.04,"21,551,282.40",Consumer Staples
USD,USD CASH,Cash,0.03,"15,518,721.67",Cash and/or Derivatives
UBFUT,CASH COLLATERAL USD UBFUT,Cash Collateral and Margins,0.01,"4,928,100.00",Cash and/or Derivatives
FAM9,S&P MID 400 EMINI JUN 19,Futures,0,"106,053,640.00",Cash and/or Derivatives
